sku,name,url,price,img_url,description,allegens,weight,cals,fat_level,sat_level,sugar_level,salt_level,rating,Energy,Fat,Saturates,Mono_unsaturates,Polyunsaturates,Carbohydrate,Sugars,Starch,Fibre,Protein,Salt
7809046,Sainsbury's On the Go Fruit & Nut Mix 25g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-fruit---nut-mix-25g,0.80,https://assets.sainsburys-groceries.co.uk/gol/7809046/1/640x640.jpg,"A mix of almonds, cashew nuts, crimson and flame raisins","{'Cashew Nuts', 'Almonds'}",25,112,HIGH,MEDIUM,LOW,LOW,,112,6.1,0.7,4,1.1,11,0.5,10.5,0.9,2.8,0.01
7455488,Kinder Bueno White Chocolate & Hazelnuts Bar 39g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kinder-bueno-white-single-39g,1.00,https://assets.sainsburys-groceries.co.uk/gol/7455488/1/640x640.jpg,White Chocolate Covered Wafer with Smooth Milky and Hazelnut Filling,,39,111,,,,,4.8,,,,,,,,,,,
7073552,Cadbury Dairy Milk Chocolate Buttons 40g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-giant-dairy-milk-buttons-bag-40g,1.05,https://assets.sainsburys-groceries.co.uk/gol/7073552/1/640x640.jpg,Milk chocolates.,,40,107,,,,,4.9,,,,,,,,,,,
7618479,Sainsbury's Pistachio Nuts 35g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-pistachio-nuts-35g,0.90,https://assets.sainsburys-groceries.co.uk/gol/7618479/1/640x640.jpg,Roasted pistachio nuts in shell,{'Pistachio Nuts.'},35,103,HIGH,HIGH,MEDIUM,LOW,4.2,103,8.4,1.1,4.6,2.4,2,1.3,0.7,1.1,4.2,0.01
7900288,Sainsbury's On the Go Wasabi Peas 50g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-wasabi-peas-50g,1.05,https://assets.sainsburys-groceries.co.uk/gol/7900288/1/640x640.jpg,Roasted marrowfat peas with a wasabi flavoured coating,,50,102,MEDIUM,MEDIUM,MEDIUM,MEDIUM,5,102,2.7,1,1.2,0.3,13.7,2,11.7,3.2,4,0.27
8115060,Fridge Raiders Southern Style Chicken Bites Meal Deal 45g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/fridge-raiders-southern-style-chicken-bites-meal-deal-50g,1.30,https://assets.sainsburys-groceries.co.uk/gol/8115060/1/640x640.jpg,Southern style flavour chopped and shaped chicken breast.,,45,100,,,,,4.5,,,,,,,,,,,
24,Sainsbury's Large Kiwi Fruit Single,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-large-kiwi-fruit-single,0.30,https://assets.sainsburys-groceries.co.uk/gol/24/1/640x640.jpg,Kiwi Fruit Class I,,81,,,,,,3,43,0.5,,,,8.1,7.8,,,0.9,
79,Sainsbury's Oranges,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-oranges,0.30,https://assets.sainsburys-groceries.co.uk/gol/79/1/100x100.jpg,Single Orange Class I,,110,,,,,,3.2,44,0.5,,,,9,9,,,0.9,
6617773,Sainsbury's Braeburn Apple Single,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-braeburn-apple-single,0.35,https://assets.sainsburys-groceries.co.uk/gol/6617773/1/100x100.jpg,Apple Class I,,80,,,,,,3.3,1,0,,,,0,0,,0,0,0
6620654,Sainsbury's Conference Pear Single,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-conference-pear-single,0.45,https://assets.sainsburys-groceries.co.uk/gol/6620654/1/640x640.jpg,Pears Class I,,80,,,,,,3.6,1,0,0,,,0,0,0,0,0,0
